id,trigger,conditions,script,text,options,notes
ngcOasOptionResonator,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasResonator ""A slower than usual high tech ship, can pull phase ships out of phase with the disruptor system.""",,15:ngcOasResonator:Resonator-class Frigate,
ngcOasResonator,NewGameOptionSelected,$option == ngcOasResonator,"NGCAddShip toopo_cutie_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionButcherOA,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasButcherOA ""Osiris Alliance version of Butcher with Fast Missile Racks system, with modular medium missile hardpoint. Good for support role.""",,16:ngcOasButcherOA:Butcher (OA)-class Destroyer,
ngcOasButcherOA,NewGameOptionSelected,$option == ngcOasButcherOA,"NGCAddShip oas_butcher_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionButcher,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasButcher ""The original Butcher version comes with a built-in Dogleg torpedo. Cheap ship with burn drive. Combat results vary from one shot kill to accidental suicide.""",,17:ngcOasButcher:Butcher-class Destroyer,
ngcOasButcher,NewGameOptionSelected,$option == ngcOasButcher,"NGCAddShip toopo_bucket_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionButcherP,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasButcherP ""The pirates managed to put a large missile hardpoint in place of the Dogleg-torpedo.""",,18:ngcOasButcherP:Butcher (P)-class Destroyer,
ngcOasButcherP,NewGameOptionSelected,$option == ngcOasButcherP,"NGCAddShip toopo_bucket_p_support
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionScanner,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasScanner ""A lighter destroyer for hit'n'run gameplay. Still heavily armored compared to normal destroyers.""",,19:ngcOasScanner:Scanner-class Destroyer,
ngcOasScanner,NewGameOptionSelected,$option == ngcOasScanner,"NGCAddShip oas_lightdestro_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionMutant,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasMutant ""Comes with Surveying equipment so it's a good starting exploration ship. A good option to brawl with the aid of a fortress shiel,d as long as you keep your flanks in check.""",,20:ngcOasMutant:Mutant-class Destroyer,
ngcOasMutant,NewGameOptionSelected,$option == ngcOasMutant,"NGCAddShip toopo_xplorer_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionOscillator,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasOscillator ""A slow high tech exploration ship with a broadside style mount arrangement.""",,21:ngcOasOscillator:Oscillator-class Destroyer,
ngcOasOscillator,NewGameOptionSelected,$option == ngcOasOscillator,"NGCAddShip toopo_oscillator_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSpectator,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasSpectator ""A very mobile, state of the art Osiris Alliance ORB ship.""",,22:ngcOasSpectator:Spectator-class Destroyer,
ngcOasSpectator,NewGameOptionSelected,$option == ngcOasSpectator,"NGCAddShip oas_spectator_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSkull,OasShipOptions,"$ngcOasCatalog == Destro","SetTooltip ngcOasSkull ""Energy weaponry and time dilation without phase. Effective.""",,23:ngcOasSkull:Skull-class Destroyer,
ngcOasSkull,NewGameOptionSelected,$option == ngcOasSkull,"NGCAddShip oas_skull_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionUnicorn,OasShipOptions,"$ngcOasCatalog == Destro2","SetTooltip ngcOasUnicorn ""EMP ensures good PD, built-in Heavy Mining Laser cuts armors like butter. Built-in wing of Spitter drones.""",,24:ngcOasUnicorn:Unicorn-class Destroyer,
ngcOasUnicorn,NewGameOptionSelected,$option == ngcOasUnicorn,"NGCAddShip oas_unicorn_starter
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionRhino,OasShipOptions,"$ngcOasCatalog == Destro2","SetTooltip ngcOasRhino ""Good mounts, good armor, a launch bay. The perfect ship to just charge at the enemy.""",,25:ngcOasRhino:Rhino-class Destroyer,
ngcOasRhino,NewGameOptionSelected,$option == ngcOasRhino,"NGCAddShip oas_rhino2_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionBlaster,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasBlaster ""A mobile cruiser with large version of the mining blaster built-in. The class name explains it.""",,26:ngcOasBlaster:Blaster-class Cruiser,
ngcOasBlaster,NewGameOptionSelected,$option == ngcOasBlaster,"NGCAddShip oas_blaster_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionTusker,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasTusker ""Bays, Big guns, Armor, Logistics.""",,27:ngcOasTusker:Tusker-class Heavy Cruiser,
ngcOasTusker,NewGameOptionSelected,$option == ngcOasTusker,"NGCAddShip oas_tusker2_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionMagma,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasMagma ""Need to transfer troops? An artillery ship? Missiles? Magma can be customized to these needs.""",,28:ngcOasMagma:Magma-class Cruiser,
ngcOasMagma,NewGameOptionSelected,$option == ngcOasMagma,"NGCAddShip oas_magma_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionGazer,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasGazer ""Good platform for tracking missiles with the ORB providing ECCM.""",,29:ngcOasGazer:Gazer-class Cruiser,
ngcOasGazer,NewGameOptionSelected,$option == ngcOasGazer,"NGCAddShip oas_gazer_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionClown,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasClown ""Light only in designation, a tough nut to crack with a damper field system.""",,30:ngcOasClown:Clown-class Light Cruiser,
ngcOasClown,NewGameOptionSelected,$option == ngcOasClown,"NGCAddShip toopo_clown_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionTsunami,OasShipOptions,"$ngcOasCatalog == nope","SetTooltip ngcOasTsunami ""Fast ballistic cruiser, does not need much crew due to automation.""",,31:ngcOasTsunami:Tsunami-class Cruiser,
ngcOasTsunami,NewGameOptionSelected,$option == ngcOasTsunami,"NGCAddShip toopo_tsunami_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionBlockman,OasShipOptions,"$ngcOasCatalog == Cruiser","SetTooltip ngcOasBlockman ""Cruiser that will very slowly eat you, unless you shoot past its fortress shield.""",,32:ngcOasBlockman:Blockman-class Cruiser,
ngcOasBlockman,NewGameOptionSelected,$option == ngcOasBlockman,"NGCAddShip toopo_blockman_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionColosseum,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasColosseum ""The most bays per credit you can buy. Optimized with only that in mind.""",,33:ngcOasColosseum:Colosseum-class Carrier,
ngcOasColosseum,NewGameOptionSelected,$option == ngcOasColosseum,"NGCAddShip toopo_colosseum_strike
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionApparatus,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasApparatus ""A high tech version of the Venture with more missile power and a bay.""",,34:ngcOasApparatus:Apparatus-class Cruiser,
ngcOasApparatus,NewGameOptionSelected,$option == ngcOasApparatus,"NGCAddShip toopo_apoture_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionEcuador,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasEcuador ""Ecuador is a Condor that can join the frontline.""",,35:ngcOasEcuador:Ecuador-class Carrier,
ngcOasEcuador,NewGameOptionSelected,$option == ngcOasEcuador,"NGCAddShip toopo_ecuador_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionTsunamiC,OasShipOptions,"$ngcOasCatalog == nope","SetTooltip ngcOasTsunamiC ""Version of the Tsunami with the front weapon array swapped for launch bays.""",,36:ngcOasTsunamiC:Tsunami (C)-class Carrier,
ngcOasTsunamiC,NewGameOptionSelected,$option == ngcOasTsunamiC,"NGCAddShip toopo_tsunamic_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionScorpion,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasScorpion ""Watch out for the stinger!""",,37:ngcOasScorpion:Scorpion-class Carrier,
ngcOasScorpion,NewGameOptionSelected,$option == ngcOasScorpion,"NGCAddShip toopo_scorpion_oa
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSlayer,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasSlayer ""Battlecarrier, plays like a smaller legion.""",,38:ngcOasSlayer:Slayer-class Carrier,
ngcOasSlayer,NewGameOptionSelected,$option == ngcOasSlayer,"NGCAddShip toopo_murderer_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSaltire,OasShipOptions,"$ngcOasCatalog == Carrier","SetTooltip ngcOasSaltire ""A high performance combat carrier.""",,39:ngcOasSaltire:Saltire-class Carrier,
ngcOasSaltire,NewGameOptionSelected,$option == ngcOasSaltire,"NGCAddShip oas_saltire_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionPullet,OasShipOptions,"$ngcOasCatalog == Logistic","SetTooltip ngcOasPullet ""Small frigate sized freighter, can be modified to combat vessel if you are desperate.""",,40:ngcOasPullet:Pullet-class Freighter,
ngcOasPullet,NewGameOptionSelected,$option == ngcOasPullet,"NGCAddShip oas_pullet_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionNarwhal,OasShipOptions,"$ngcOasCatalog == Logistic","SetTooltip ngcOasNarwhal ""Destroyer sized freighter, can be modified to combat vessel if you are desperate.""",,41:ngcOasNarwhal:Narwhal-class Freighter,
ngcOasNarwhal,NewGameOptionSelected,$option == ngcOasNarwhal,"NGCAddShip oas_narwhal_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionBasalt,OasShipOptions,"$ngcOasCatalog == Logistic","SetTooltip ngcOasBasalt ""Cruiser sized freighter, can be modified to combat vessel if you are desperate.""",,42:ngcOasBasalt:Basalt-class Heavy Freighter,
ngcOasBasalt,NewGameOptionSelected,$option == ngcOasBasalt,"NGCAddShip oas_basalt_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionObserver,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasObserver ""A carrier with big guns, a range boosting system and ORB laser.""",,43:ngcOasObserver:Observer-class Battlecarrier,
ngcOasbserver,NewGameOptionSelected,$option == ngcOasObserver,"NGCAddShip oas_observer_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSun,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasSun ""The biggest ORB equipped Osiris Alliance ship. Sun is able to passively boost allies with more weapon range.""",,44:ngcOasSun:Sun-class Battleship,
ngcOasSun,NewGameOptionSelected,$option == ngcOasSun,"NGCAddShip oas_sun_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionHexagon,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasHexagon ""A mobile mining station. More guns and bays than it can handle.""",,45:ngcOasHexagon:Hexagon-class Battlecarrier,
ngcOasHexagon,NewGameOptionSelected,$option == ngcOasHexagon,"NGCAddShip oas_hexagon_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionGenesis,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasGenesis ""Plenty of missile slots, two fighter bays. Low tech flux levels.""",,46:ngcOasGenesis:Genesis-class Battlecruiser,
ngcOasGenesis,NewGameOptionSelected,$option == ngcOasGenesis,"NGCAddShip toopo_genesis_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionSolace,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasSolace ""A built in laser array that melts armor. Anti-Onslaught ship.""",,47:ngcOasSolace:Solace-class Battlecruiser,
ngcOasSolace,NewGameOptionSelected,$option == ngcOasSolace,"NGCAddShip toopo_solace_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionHaast,OasShipOptions,"$ngcOasCatalog == Capital","SetTooltip ngcOasHaast ""Eagle's bigger brother.""",,48:ngcOasHaast:Haast-class Battleship,
ngcOasHaast,NewGameOptionSelected,$option == ngcOasHaast,"NGCAddShip toopo_haast_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionOnslaughtAMEG,OasShipOptions,"$ngcOasCatalog == nope","SetTooltip ngcOasOnslaughtAMEG ""Antimatter Energy Group had their time with the Onslaught platform. Result is a nasty ship.""",,49:ngcOasOnslaughtAMEG:Onslaught (AMEG)-class Battleship,
ngcOasOnslaughtAMEG,NewGameOptionSelected,$option == ngcOasOnslaughtAMEG,"NGCAddShip oas_lolslaught_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
,,,,,,
#Old inactive NGC stuff section,,,,,,
ngcOasStart1,AddNewOasGameChoices,,"SetTooltip ngcOas1 ""The Radiator is a commercially unsuccessful Domain-era Mining hull. It has a damper-field to protect itself, a front facing energy cannon and strong flux dissipation. However, it lacks a modern shield. Your best bet on survival is to not get hit too many times.""",,"1:ngcOas1:A Spacer, Your lone Radiator-class frigate barely made the journey.  Countless riches await your greedy grasp (Hard)",
ngcOasStart2,AddNewOasGameChoices,,"SetTooltip ngcOas2 ""Eraser is as good as the person piloting it, combat results are dictated by the maneuvers executed during battle.\n\nAccompanied by a Polecat-class torpedo frigate.""",,"2:ngcOas2:A Bounty hunter, commanding a Eraser-class skirmisher frigate.",
ngcOasStart3,AddNewOasGameChoices,,"SetTooltip ngcOas3 ""Scanner fits the lifestyle of a busy mercenary captain. Catch your target, destroy, repeat. Keeps the income steady in a otherwise volatile profession.\n\nThe fleet consists of a Wombat-class frigate-sized carrier, Hen-class missile frigate and a Muskrat-class combat freighter. A single dram keeps the fleet fueled.""",,"3:ngcOas3:A Mercenary, commanding a fleet of warships from aboard Scanner-class Destroyer. (Faster start)",
ngcOasStart4,AddNewOasGameChoices,,"SetTooltip ngcOas4 ""Scorpion is a slow moving carrier rig. Anything within its range is quickly destroyed by the large weapon mounted on its stinger.\n\nThe pirate fleet comes with a feisty Ecuador (P)-class cruiser carrier, smugglers' favorite Muskar (P)-class frigate and a EMP-arc capable Dramster-class frigate. A single dram keeps the fleet fueled.""",,"4:ngcOas4:A Pirate warlord, commanding a raiding party from aboard a Scorpion-class Carrier (Hard+Faster start)",
ngcOasStart5,AddNewOasGameChoices,,"SetTooltip ngcOas5 ""Opossum is often used as a supporting cast for larger fleets, it has a wing of Bob Arcwelder drones. To defend itself it has a medium sized energy mount, picking the right weapon for this slot is crucial.\n\nComes with a sidekick Radiator-class frigate to aid fighting against pirates.""",,"5:ngcOas5:A Salvage captain, leading a crew from aboard an Opossum-class drone tender.",
ngcOasStart6,AddNewOasGameChoices,,"SetTooltip ngcOas6 ""Unicorn-class is a classic Domain mining vessel with a powerful mining laser that works well against pirate hulls. The fleet also consists of Opossum-class frigate and a Radiator-class frigate.\n\n The fleet comes with a Dram-class tanker.""",,"6:ngcOas6:A Miner, leading a fleet of mining capable ships from aboard a Unicorn-class destroyer. (Faster start)",
ngcOasStart7,AddNewOasGameChoices,,"SetTooltip ngcOas7 ""Apparatus-class Cruiser, paired with a smaller Oscillator-class survey destroyer and Resonator-class anti-phase frigate.\n\nBacked with a logistical duo of Dram-class tanker and Buffalo-class freighter.""",,"7:ngcOas7:An Explorer, leading a planetary survey expedition from aboard an Apparatus-class cruiser. (Faster start)",
ngcOasStart8,AddNewOasGameChoices,,"SetTooltip ngcOas8 ""A single Haast-class Battleship has enough firepower to bring down anything the sector can throw against you, but can still fall down against bigger numbers.\n\nWinning the lottery set you up for life with credits, but who's not to gamble it all to build a fleet to make your name a legend in the sector.""",,"8:ngcOas8:A lucky Spacer, commanding a brand new Haast-class battleship, the main price of the annual Power Jinx R&D lottery. (Skip all the fun)",
ngcOasStart9,AddNewOasGameChoices,,"SetTooltip ngcOas9 ""Pick a ship from an unique selection of the Osiris Alliance catalogue.""",,"9:ngcOas9:A retired COMSEC agent, commanding a Radiator MK. III Troop transporter full of marines, your team has just ""acquired"" a brand new ship...",
ngcOasPicked1,NewGameOptionSelected,$option == ngcOas1,"NGCAddShip toopo_miningboi_standard
$ngcOasSelected = true
FireAll OasStartingStarSystemOption",,,
ngcOasPicked2,NewGameOptionSelected,$option == ngcOas2,"NGCAddShip oas_eraser_standard
NGCAddShip oas_polecat_starter
$ngcOasSelected = true
AddTextSmall ""Acquired level 1 officer"" good
SetTextHighlights ""level 1 officer""
$ngcAddOfficer = true
FireAll OasStartingStarSystemOption",,,
